"id","input","reference","hypothesis","bleu_score","meteor_score","ter_score","rouge1","rouge2","rougeL","pos_accuracy","ner_accuracy","lemmatization_accuracy","phrase_preservation","num_tokens","avg_token_length","num_stopwords_removed","stopwords_removal_percentage","execution_time","created_at"
"1","The film was inspired by real events.","The movie was based on a true story.","The film was inspired by real events.","6.4138851166","0.1265822798","75","0.2666666806","0","0.2666666806","33.333332062","0","33.33333206176758","0","8","4.2857141494751","4","50","7.529003620148","2025-03-26 12:59:24"
"2","Which is the top free online course for Google Adwords?","Can you recommend a free online course for Google Adwords that is the best?","Which is the top free online course for Google Adwords?","37.178100586","0.5087034702","57.142856598","0.6666666865","0.5454545617","0.5","60","100","60","25","11","4.5","5","45.45454406738281","11.04274463654","2025-03-26 13:01:08"
"3","For a smoky eye effect, Lisa used Benefit BADgal Waterproof liner to line her lashline.","To achieve a smoky eye appearance, Lisa applied Benefit BADgal Waterproof liner along her lashline.","For a smoky eye effect, Lisa used Benefit BADgal Waterproof liner to line her lashline.","28.634246826","0.698898077","33.333332062","0.7333333492","0.4285714328","0.6666666865","70.588233948","100","70.5882339477539","75","17","4.73333311080933","6","35.29411697387695","16.30561065674","2025-03-26 13:02:03"
"4","The traffic jam extends 13 miles back on the western side of the motorway between junction 9 and 15.","The western side of the motorway between junction 9 and 15 is experiencing a 13-mile long traffic jam.","The traffic jam extends 13 miles back on the western side of the motorway between junction 9 and 15.","49.314979553","0.6059083939","83.333335876","0.7894737124","0.6666666865","0.5789473653","73.684211731","50","71.42857360839844","75","20","4.75","11","55","12.26754951477","2025-03-26 13:02:59"
"5","Samuel Siegel's mandolin playing in Vaudeville earned him a reputation as one of the best in America.","Samuel Siegel played mandolin in Vaudeville and became one of America's preeminent mandolinists.","Samuel Siegel's mandolin playing in Vaudeville earned him a reputation as one of the best in America.","6.9867682457","0.3579043448","92.307693481","0.625","0.200000003","0.5","66.666664124","50","66.66666412353516","25","19","4.61111116409302","9","47.3684196472168","17.88566017151","2025-03-26 13:03:56"
"6","What is the affordable & trustworthy cleaners here in Singapore?","Which cleaning services in Singapore offer affordable and reliable options?","What are the affordable & trustworthy cleaners here in Singapore?","8.9137659073","0.150000006","100","0.3157894611","0.1176470593","0.2105263174","36.363636017","100","36.3636360168457","33.33333206176758","11","6","7","63.6363639831543","13.72961235046","2025-03-26 13:05:05"
"7","Does Red Bull contain bull sperm?","Does Red Bull contain bull reproductive material?","Does Red Bull contain bull sperm?","55.780029297","0.7217391133","28.571428299","0.769230783","0.7272727489","0.769230783","75","100","75","50","7","4.5","2","28.571428298950195","5.815755844116","2025-03-26 13:05:55"
"8","To what extent does culture shape fan behavior?","How does culture influence fan behavior?","To what extent does culture shape fan behavior?","22.316181183","0.6048387289","66.666664124","0.571428597","0.3333333433","0.571428597","71.428573608","0","71.42857360839844","0","9","4.875","4","44.44444274902344","6.717847824097","2025-03-26 13:06:33"
"9","Are there lesbians in India?","Do same-sex relationships exist among women in India?","Are there lesbians in India?","18.325567245","0.3318903446","75","0.2857142985","0.1666666716","0.2857142985","33.333332062","100","27.272727966308594","33.33333206176758","6","4.59999990463257","4","66.66666412353516","16.81296920776","2025-03-26 13:07:25"
"10","Will time travel ever become possable?","Will humanity ever develop the ability to travel through time?","Will time travel ever become possible?","5.5457386971","0.15625","80","0.5","0","0.25","45.454544067","0","45.45454406738281","0","7","5.33333349227905","2","28.571428298950195","7.504904747009","2025-03-26 13:07:55"
